,img_id,attribute,gt_code,gt
0,n01443537/art_0.jpg,art,n01443537,0
1,n01443537/art_1.jpg,art,n01443537,0
2,n01443537/art_10.jpg,art,n01443537,0
3,n01443537/art_11.jpg,art,n01443537,0
4,n01443537/art_12.jpg,art,n01443537,0
5,n01443537/art_2.jpg,art,n01443537,0
6,n01443537/art_3.jpg,art,n01443537,0
7,n01443537/art_4.jpg,art,n01443537,0
8,n01443537/art_5.jpg,art,n01443537,0
9,n01443537/art_6.jpg,art,n01443537,0
10,n01443537/art_7.jpg,art,n01443537,0
11,n01443537/art_8.jpg,art,n01443537,0
12,n01443537/art_9.jpg,art,n01443537,0
13,n01443537/cartoon_0.jpg,cartoon,n01443537,0
14,n01443537/cartoon_1.jpg,cartoon,n01443537,0
15,n01443537/cartoon_10.jpg,cartoon,n01443537,0
16,n01443537/cartoon_11.jpg,cartoon,n01443537,0
17,n01443537/cartoon_12.jpg,cartoon,n01443537,0
18,n01443537/cartoon_13.jpg,cartoon,n01443537,0
19,n01443537/cartoon_14.jpg,cartoon,n01443537,0
20,n01443537/cartoon_15.jpg,cartoon,n01443537,0
21,n01443537/cartoon_16.jpg,cartoon,n01443537,0
22,n01443537/cartoon_17.jpg,cartoon,n01443537,0
23,n01443537/cartoon_18.jpg,cartoon,n01443537,0
24,n01443537/cartoon_19.jpg,cartoon,n01443537,0
25,n01443537/cartoon_2.jpg,cartoon,n01443537,0
26,n01443537/cartoon_20.jpg,cartoon,n01443537,0
27,n01443537/cartoon_21.jpg,cartoon,n01443537,0
28,n01443537/cartoon_22.jpg,cartoon,n01443537,0
29,n01443537/cartoon_23.jpg,cartoon,n01443537,0
30,n01443537/cartoon_24.jpg,cartoon,n01443537,0
31,n01443537/cartoon_25.jpg,cartoon,n01443537,0
32,n01443537/cartoon_26.jpg,cartoon,n01443537,0
33,n01443537/cartoon_27.jpg,cartoon,n01443537,0
34,n01443537/cartoon_28.jpg,cartoon,n01443537,0
35,n01443537/cartoon_29.jpg,cartoon,n01443537,0
36,n01443537/cartoon_3.jpg,cartoon,n01443537,0
37,n01443537/cartoon_30.jpg,cartoon,n01443537,0
38,n01443537/cartoon_31.jpg,cartoon,n01443537,0
39,n01443537/cartoon_32.jpg,cartoon,n01443537,0
40,n01443537/cartoon_33.jpg,cartoon,n01443537,0
41,n01443537/cartoon_34.jpg,cartoon,n01443537,0
42,n01443537/cartoon_35.jpg,cartoon,n01443537,0
43,n01443537/cartoon_36.jpg,cartoon,n01443537,0
44,n01443537/cartoon_37.jpg,cartoon,n01443537,0
45,n01443537/cartoon_38.jpg,cartoon,n01443537,0
46,n01443537/cartoon_39.jpg,cartoon,n01443537,0
47,n01443537/cartoon_4.jpg,cartoon,n01443537,0
48,n01443537/cartoon_40.jpg,cartoon,n01443537,0
49,n01443537/cartoon_41.jpg,cartoon,n01443537,0
50,n01443537/cartoon_5.jpg,cartoon,n01443537,0
51,n01443537/cartoon_6.jpg,cartoon,n01443537,0
52,n01443537/cartoon_7.jpg,cartoon,n01443537,0
53,n01443537/cartoon_8.jpg,cartoon,n01443537,0
54,n01443537/cartoon_9.jpg,cartoon,n01443537,0
55,n01443537/deviantart_0.jpg,deviantart,n01443537,0
56,n01443537/deviantart_1.jpg,deviantart,n01443537,0
57,n01443537/deviantart_10.jpg,deviantart,n01443537,0
58,n01443537/deviantart_11.jpg,deviantart,n01443537,0
59,n01443537/deviantart_12.jpg,deviantart,n01443537,0
60,n01443537/deviantart_13.jpg,deviantart,n01443537,0
61,n01443537/deviantart_14.jpg,deviantart,n01443537,0
62,n01443537/deviantart_15.jpg,deviantart,n01443537,0
63,n01443537/deviantart_16.jpg,deviantart,n01443537,0
64,n01443537/deviantart_2.jpg,deviantart,n01443537,0
65,n01443537/deviantart_3.jpg,deviantart,n01443537,0
66,n01443537/deviantart_4.jpg,deviantart,n01443537,0
67,n01443537/deviantart_5.jpg,deviantart,n01443537,0
68,n01443537/deviantart_6.jpg,deviantart,n01443537,0
69,n01443537/deviantart_7.jpg,deviantart,n01443537,0
70,n01443537/deviantart_8.jpg,deviantart,n01443537,0
71,n01443537/deviantart_9.jpg,deviantart,n01443537,0
72,n01443537/embroidery_0.jpg,embroidery,n01443537,0
73,n01443537/embroidery_1.jpg,embroidery,n01443537,0
74,n01443537/embroidery_10.jpg,embroidery,n01443537,0
75,n01443537/embroidery_11.jpg,embroidery,n01443537,0
76,n01443537/embroidery_2.jpg,embroidery,n01443537,0
77,n01443537/embroidery_3.jpg,embroidery,n01443537,0
78,n01443537/embroidery_4.jpg,embroidery,n01443537,0
79,n01443537/embroidery_5.jpg,embroidery,n01443537,0
80,n01443537/embroidery_6.jpg,embroidery,n01443537,0
81,n01443537/embroidery_7.jpg,embroidery,n01443537,0
82,n01443537/embroidery_8.jpg,embroidery,n01443537,0
